;Title;Producer;Vintage;Wine Type;Colour;Country;Region;Appellation;Sweetness;Closure;Alcohol;Body;Oak;Grapes;Brand
52;Taittinger, Comtes de Champagne, Champagne, France, 2012;Taittinger;2012;Sparkling;White;France;Champagne;;Brut;Natural Cork;12.50%;Full;;['100% Chardonnay'];Comtes de Champagne
53;Château d'Aydie, Ode d'Aydie, Madiran, Southwest France, France 2016;Château d'Aydie;2016;Still;Red;France;Southwest France;Madiran;Dry;Natural Cork;14.00%;Full;Oaked;['Tannat'];Odé d'Aydie
54;Alain Brumont, Château Montus Prestige, Madiran, Southwest France, France 1990;Alain Brumont;1990;Still;Red;France;Southwest France;Madiran;Dry;Natural Cork;13.00%;Full;;['100% Tannat'];Château Montus Prestige
55;Alain Brumont, Château Montus La Tyre, Madiran, Southwest France, France 2018;Alain Brumont;2018;Still;Red;France;Southwest France;Madiran;Dry;Natural Cork;13.00%;Full;;['100% Tannat'];Château Montus La Tyre
56;Domaine du Crampilh, Madiran, Southwest France, France 2019;Domaine du Crampilh;2019;Still;Red;France;Southwest France;;Dry;Cork;13.50%;Full;;['Tannat'];Madiran
57;Plaimont, Château de Crouseilles, Madiran, Southwest France, France 2015;Plaimont;2015;Still;Red;France;Southwest France;Madiran;Dry;Natural Cork;13.50%;Full;;['100% Tannat'];Château de Crouseilles
58;Domaine Bonneau du Martray, Corton-Charlemagne Grand Cru, Burgundy 2018;Domaine Bonneau du Martray;2018;Still;White;France;Burgundy;Corton-Charlemagne Grand Cru;Dry;Cork;14.00%;Medium;Oaked;['100% Chardonnay'];
59;Louis Jadot, Les Demoiselles, Chevalier-Montrachet Grand Cru, Burgundy 1986;Louis Jadot;1986;Still;White;France;Burgundy;Chevalier-Montrachet Grand Cru;Dry;Cork;13.50%;Medium;Oaked;['100% Chardonnay'];Les Demoiselles
60;Domaine François Raveneau, Chablis, 1er Cru Montée de Tonnerre, Burgundy, 2006;Domaine François Raveneau;2006;Still;White;France;Burgundy;Chablis;Dry;Cork;13.00%;Medium;Oaked;['100% Chardonnay'];
61;Domaine Ramonet, Chevalier-Montrachet Grand Cru, Burgundy 2018;Domaine Ramonet;2018;Still;White;France;Burgundy;Chevalier-Montrachet Grand Cru;Dry;Cork;14.00%;Medium;Oaked;['100% Chardonnay'];
62;Moët & Chandon, Dom Pérignon, Champagne, 2008;Moët & Chandon;2008;Sparkling;Rosé;France;Champagne;;Brut;Cork;12.50%;Medium;Unoaked;['60% Chardonnay', '40% Pinot Noir / Pinot Nero'];Dom Pérignon
63;Pierre Péters, Heritage, Champagne, France, NV;Pierre Péters;;Sparkling;White;France;Champagne;;Extra Brut;Cork;12.50%;Medium;Unoaked;['100% Chardonnay'];Heritage
64;Domaine de la Romanée-Conti, Corton Grand Cru, Burgundy 2011;Domaine de la Romanée-Conti;2011;Still;Red;France;Burgundy;Corton Grand Cru;Dry;Cork;13.00%;Medium;Oaked;['100% Pinot Noir / Pinot Nero'];
65;Domaine de la Romanée-Conti, Échezéaux Grand Cru, Burgundy 2011;Domaine de la Romanée-Conti;2011;Still;Red;France;;;;;;;;;
66;Domaine de la Romanée-Conti, Grands-Échézeaux Grand Cru, Burgundy 2011;Domaine de la Romanée-Conti;2011;Still;Red;France;Burgundy;Grands-Échézeaux Grand Cru;Dry;Cork;13.00%;Medium;Oaked;['100% Pinot Noir / Pinot Nero'];
67;Domaine de la Romanée-Conti, Richebourg Grand Cru, Burgundy 2011;Domaine de la Romanée-Conti;2011;Still;Red;France;Burgundy;Richebourg Grand Cru;;;;;;['Pinot Noir / Pinot Nero'];
68;Domaine de la Romanée-Conti, Romanée-Conti Grand Cru, Burgundy 2011;Domaine de la Romanée-Conti;2011;Still;Red;France;Burgundy;Romanée-Conti Grand Cru Monopole;Dry;Cork;13.00%;Medium;Oaked;['100% Pinot Noir / Pinot Nero'];
69;Domaine de la Romanée-Conti, La Tâche Grand Cru Monopole, Burgundy, 2011;Domaine de la Romanée-Conti;2011;Still;Red;France;Burgundy;La Tâche Grand Cru Monopole;Dry;Natural Cork;;;;['100% Pinot Noir / Pinot Nero'];
70;Domaine de la Romanée-Conti, Romanée-St-Vivant Grand Cru, Burgundy, 2011;Domaine de la Romanée-Conti;2011;Still;Red;France;Burgundy;Romanée-St-Vivant Grand Cru;Dry;Natural Cork;13.00%;Medium;;['100% Pinot Noir / Pinot Nero'];
