;Title;Producer;Vintage;Wine Type;Colour;Country;Region;Appellation;Sweetness;Alcohol;Oak;Grapes;Brand;Closure;Body
973;Enrico Serafino, Bricco di Neive, Barbaresco, Neive, 2019;Enrico Serafino;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Bricco di Neive;Natural Cork;Full
974;Ca' del Baio, Asili, Barbaresco, Barbaresco, Piedmont, 2019;Ca' del Baio;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Asili;Natural Cork;Full
975;Bruno Rocca, Currà, Barbaresco, Neive, Piedmont, Italy, 2019;Bruno Rocca;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.00%;Oaked;['Nebbiolo'];Currà;Natural Cork;Full
976;Bruno Rocca, Barbaresco, Piedmont, Italy, 2019;Bruno Rocca;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.00%;Oaked;['Nebbiolo'];;Natural Cork;Full
977;Michele Chiarlo, Faset, Barbaresco, Barbaresco, 2019;Michele Chiarlo;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.00%;Oaked;['Nebbiolo'];Faset;Natural Cork;Full
978;Castello di Verduno, Barbaresco, Piedmont, Italy, 2019;Castello di Verduno;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.00%;Oaked;['Nebbiolo'];;Natural Cork;Full
979;Col dei Venti, Tùfoblu, Barbaresco, Neive, Piedmont, 2019;Col dei Venti;2019;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Tùfoblu;Natural Cork;Full
980;Musso, Pora Riserva, Barbaresco, Barbaresco, Piedmont, 2017;Musso;2017;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Pora Riserva;Natural Cork;Full
981;Socré, Roncaglie Riserva, Barbaresco, Barbaresco, 2017;Socré;2017;Still;Red;Italy;Piedmont;;;;;;Roncaglie Riserva;;
982;Roberto Sarotto, Currà Riserva, Barbaresco, Neive, 2017;Roberto Sarotto;2017;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Currà Riserva;Natural Cork;Full
983;Castello di Neive, Albesani Vigna Santo Stefano Riserva, Neive, Barbaresco 2017;Castello di Neive;2017;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Albesani Vigna Santo Stefano Riserva;Natural Cork;Full
984;Punset, Riserva, Barbaresco, Neive, Piedmont, Italy, 2017;Punset;2017;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Riserva;Natural Cork;Full
985;Francone, Riserva, Barbaresco, Neive, Piedmont, Italy, 2017;Francone;2017;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Riserva;Natural Cork;Full
986;Ca' del Baio, Asili Riserva, Barbaresco, Barbaresco, 2017;Ca' del Baio;2017;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Asili Riserva;Natural Cork;Full
987;Battaglio Briccogrilli, Serragrilli Riserva, Barbaresco 2017;Battaglio Briccogrilli;2017;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.00%;Oaked;['Nebbiolo'];Serragrilli Riserva;Natural Cork;Full
988;Abellonio Roberto Cascina Piccaluga, Casot Riserva, Treiso, Barbaresco, 2017;Abellonio Roberto Cascina Piccaluga;2017;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Casot Riserva;Natural Cork;Full
989;Produttori del Barbaresco, Ovello Riserva, Barbaresco, 2017;Produttori del Barbaresco;2017;Still;Red;Italy;Piedmont;Barbaresco;Dry;14.50%;Oaked;['Nebbiolo'];Ovello Riserva;Natural Cork;Full
990;Luigi Baudana, Baudana, Serralunga d’Alba, Barolo, Piedmont, 2018;Luigi Baudana;2018;Still;Red;Italy;Piedmont;Barolo;Dry;14.50%;Oaked;['Nebbiolo'];Baudana;Cork;Full
991;Gagliasso, Torriglione, La Morra, Barolo, Piedmont, 2018;Gagliasso;2018;Still;Red;Italy;Piedmont;Barolo;Dry;14.50%;Oaked;['Nebbiolo'];Torriglione;Cork;Full
992;Gaja, Conteisa, Barolo, Piedmont, 2018;Gaja;2018;Still;Red;Italy;Piedmont;Barolo;Dry;14.50%;Oaked;['Nebbiolo'];Conteisa;Cork;Full
993;GB Burlotto, Cannubi, Barolo, Piedmont, 2018;GB Burlotto;2018;Still;Red;Italy;Piedmont;Barolo;Dry;14.50%;Oaked;['Nebbiolo'];Cannubi;Cork;Full
994;GD Vajra, Bricco delle Viole, Barolo, Piedmont, 2018;GD Vajra;2018;Still;Red;Italy;Piedmont;Barolo;Dry;14.50%;Oaked;['Nebbiolo'];Bricco delle Viole;Cork;Full
995;Giovanni Sordo, Monprivato, Castiglione Falletto, Barolo, Piedmont, 2018;Giovanni Sordo;2018;Still;Red;Italy;Piedmont;Barolo;Dry;14.50%;Oaked;['Nebbiolo'];Monprivato;Cork;Full
996;Mauro Veglio, Paiagallo, Barolo, Piedmont, 2018;Mauro Veglio;2018;Still;Red;Italy;Piedmont;Barolo;Dry;14.50%;Oaked;['Nebbiolo'];Paiagallo;Cork;Full
997;Brezza, Sarmassa, Barolo, Piedmont, 2018;Brezza;2018;Still;Red;Italy;Piedmont;Barolo;Dry;15.00%;Oaked;['Nebbiolo'];Sarmassa;Cork;Full
998;Cavallotto, Bricco Boschis, Castiglione Falletto, Barolo, Piedmont, 2019;Cavallotto;2018;Still;Red;Italy;Piedmont;Barolo;Dry;14.00%;Oaked;['Nebbiolo'];Bricco Boschis;Cork;Full
999;Ceretto, Brunate, Barolo, Piedmont, 2018;Ceretto;2018;Still;Red;Italy;Piedmont;Barolo;Dry;14.50%;Oaked;['Nebbiolo'];Brunate;Cork;Full
1000;Conterno Fantino, Sorì Ginestra, Monforte d’Alba, Barolo, Piedmont, 2019;Conterno Fantino;2018;Still;Red;Italy;Piedmont;Barolo;Dry;15.00%;Oaked;['Nebbiolo'];Sorì Ginestra;Cork;Full
